ATTENTION,HOST,IMPRESSIONS
6631.587304274,abc.soapsindepth.com,6043026
16980.813852055,collider.com,18760422
16600.591897235,deadline.com,11710940
12803.420408462,ew.com,26839769
13179.790449388,extratv.com,5506956
15594.163553056,hellogiggles.com,14805801
26470.428096884,hollywoodlife.com,19847290
9823.5470138,loudwire.com,9898200
10566.698214291,okmagazine.com,12030404
15840.503480707,pagesix.com,6626959
12024.426276963,people.com,263314222
10016.2487889,peopleenespanol.com,12499380
10780.716285964,radaronline.com,19907940
9061.656394304,solecollector.com,13680105
6512.05065409,tasteofcountry.com,6572717
19228.451515853,tvline.com,14309863
12556.478924425,ultimateclassicrock.com,12552208
22996.249479093,variety.com,13429466
18704.718136856,www.askmen.com,45429902
9736.161947897,www.billboard.com,20081718
5748.157558243,www.closerweekly.com,38011334
11258.234951926,www.complex.com,31653237
16141.61664543,www.cosmopolitan.com,6150541
23165.993090824,www.cracked.com,27511821
32512.093696983,www.dailymail.co.uk,386345972
8742.828041493,www.etonline.com,83034845
2281.815928228,www.fhm.com,140848402
12508.416062246,www.foodandwine.com,10830752
13325.710758434,www.health.com,6495090
15215.426033914,www.hollywoodreporter.com,28866270
32420.616240249,www.independent.co.uk,9298737
17601.567717957,www.insideedition.com,5017421
5956.503609133,www.intouchweekly.com,281211584
2685.678725029,www.j-14.com,26740502
12300.217530362,www.last.fm,8591665
4053.766117033,www.lifeandstylemag.com,458864309
4106.247524026,www.m-magazine.com,6201398
12396.134408532,www.metacritic.com,16832793
9572.290396333,www.metrolyrics.com,45516570
8372.675192389,www.obsev.com,6841884
7999.802098532,www.realsimple.com,8228610
8250.334464092,www.southernliving.com,16034370
9331.858158134,www.telemundo.com,79546507
19138.522016687,www.thedailybeast.com,155968269
8239.657928188,www.today.com,185280718
10325.266002379,www.tv.com,5512274
9673.694823755,www.tvguide.com,37671982
17704.18144568,www.usatoday.com,47048902
14411.153729316,www.womenshealthmag.com,14798921
8832.105259169,www.xxlmag.com,57163856